word,root word,count in book,meaning,first_ref,refs,rarity word,rarity,rarity count
roti,,10,,3979,"[(3979, 'When we’d made our toilet, washed our faces, and cleaned our teeth, Rukhmabai stood over Prabaker and me while we ate a solid breakfast of roti and chai.'), (3980, 'The roti, or unleavened flatbreads, were made fresh for each breakfast, and cooked in a lightly oiled wok on an open fire.'), (3984, 'Trapped, our jaws grinding away at the admittedly delicious food, we both cast surreptitious glances at the young women cooking at the wok, hoping that each roti, after the third or fourth we’d eaten, would be our last.'), (3989, 'The meal usually consisted of the ubiquitous roti, spicy lentil dhal, mango chutney, and raw onions, served with lime juice.'), (4203, 'They were dressed in dhotis and white caps like the farmers in Prabaker’s village, and they sat on the floor to eat a hearty meal of dhal, rice, and roti.')]",,16.19841290444318,177
marketeers,,9,,4382,"[(4382, 'The black marketeers, who were Prabaker’s friends and contacts on the street, were happy that I’d brought new customers to them, and they paid me commissions as well.'), (4398, 'True, I’d inadvertently discovered a way to earn money as a middleman, a go-between, helping wary foreigners to deal with black marketeers.'), (11776, 'The rain had been heavy, and the flooding in many areas of the city was as hard on the touts, dealers, guides, acrobats, pimps, beggars, and black marketeers who made their living on the street as it was on the many businessmen whose shops were submerged.'), (11788, 'But the swiftest to the source, the sharpest-eyed of all the street people, were those of us who broke the law professionally: the black marketeers.'), (13657, 'The black marketeers were happy because a steady stream of dollars, Deutschmarks, riyals, and dirhams flowed into the river of demand created by Indian business travellers.')]",,17.372863269502798,54
dour,,9,"Hard; inflexible; obstinate; sour in aspect; hardy; bold. [Scot.] A dour wife, a sour old carlin. C. Reade.",1220,"[(1220, 'The dark, brooding, undernourished young man was Modena, a dour and taciturn Spaniard who did black-market business with French, Italian, and African tourists.'), (8978, '‘Abdul has a pet theory, Lin,’ said Khaled, the dour Palestinian.'), (9118, 'Keki was dour and unresponsive, and Rajubhai seemed to be suspicious of me, almost to the point of rudeness.'), (15027, '‘Touch wood,’ Scorpio added, his dour frown already focusing on the troubles the evening might bring.'), (18094, 'The point man for Maurizio’s operation in Bombay was the diffident, dour Spaniard, Sebastian Modena.')]",,16.232701977921813,171
hutments,,8,,5486,"[(5486, '‘You are the doctor in the Colaba hutments, Mr. Lin.'), (5488, 'It is unusual, a foreigner, living in the hutments.'), (5493, 'The slum where I lived, known as the zhopadpatti, or the hutments, half a square kilometre, with twenty-five thousand men, women, and children, belonged to him?'), (5499, 'Doctors will not go into the hutments willingly.'), (6167, '‘He is the doctor in the Colaba hutments.’')]",,18.489824696839104,14
spluttered,splutter,8,"To speak hastily and confusedly; to sputter. [Colloq.] Carleton.

A confused noise, as of hasty speaking. [Colloq.]

""confusedly"": In a confused manner.

""sputter"": 1. To spit, or to emit saliva from the mouth in small, scattered portions, as in rapid speaking. 2. To utter words hastily and indistinctly; to speak so rapidly as to emit saliva. They could neither of them speak their rage, and so fell a sputtering at one another, like two roasting apples. Congreve. 3. To throw out anything, as little jets of steam, with a noise like that made by one sputtering. Like the green wood . . . sputtering in the flame. Dryden.

To spit out hastily by quick, successive efforts, with a spluttering sound; to utter hastily and confusedly, without control over the organs of speech. In the midst of caresses, and without the last pretend incitement, to sputter out the basest accusations. Swift.

Moist matter thrown out in small detached particles; also, confused and hasty speech.",4262,"[(4262, 'I thought he was about to admit defeat, but at last he gasped and spluttered his way through to empty the glass.'), (13321, '‘Am ek?’ he spluttered, through the laugh.'), (17546, '‘I’m just glad it wasn’t an advert for laxatives or some such!’ he spluttered, causing me to laugh and spray tea at him in return.'), (22005, '‘Don’t get me started again!’ Khaled spluttered, laughing and clutching at his side.'), (22485, '‘I’m out of line!’ I spluttered, feeling my teeth chatter, and struggling to make my numb limbs obey my mind.')]",splutter,17.91446055193554,14
winced,wince,8,"1. To shrink, as from a blow, or from pain; to flinch; to start back. I will not stir, nor wince, nor speak a word. Shak. 2. To kick or flounce when unsteady, or impatient at a rider; as, a horse winces.

The act of one who winces.

A reel used in dyeing, steeping, or washing cloth; a winch. It is placed over the division wall between two wince pits so as to allow the cloth to descend into either compartment. at will. Wince pit, Wince pot, a tank or a pit where cloth in the process of dyeing or manufacture is washed, dipped in a mordant, or the like.

""flounce"": To throw the limbs and body one way and the other; to spring, turn, or twist with sudden effort or violence; to struggle, as a horse in mire; to flounder; to throw one's self with a jerk or spasm, often as in displeasure. To flutter and flounce will do nothing but batter and bruise us. Barrow. With his broad fins and forky tail he laves The rising sirge, and flounces in the waves. Addison.

The act of floucing; a sudden, jerking motion of the body.

An ornamental appendage to the skirt of a woman's dress, consisting of a strip gathered and sewed on by its upper edge around the skirt, and left hanging.

To deck with a flounce or flounces; as, to flounce a petticoat or a frock.

""mordant"": 1. Biting; caustic; sarcastic; keen; severe. 2. (Dyeing & Calico Printing)  Serving to fix colors.

1. Any corroding substance used in etching. 2. (Dyeing & Calico Printing)  Any substance, as alum or copperas, which, having a twofold attraction for organic fibers and coloring matter, serves as a bond of union, and thus gives fixity to, or bites in, the dyes. 3. (Gilding)  Any sticky matter by which the gold leaf is made to adhere.

To subject to the action of, or imbue with, a mordant; as, to mordant goods for dyeing.",9345,"[(9345, 'Ameer winced and grimaced inventively, but he didn’t cry out.'), (9937, 'He winced, but I didn’t relax the grip.'), (12466, '‘Oooooh!’ he winced, pursing his lips.'), (12476, '‘Oooooh!’ he winced again, hunching his shoulders.'), (13254, 'That face wrinkled and winced as he stared at me.')]",wince,16.543914547783793,42
haphazard,,8,"Extra hazard; chance; accident; random. We take our principles at haphazard, upon trust. Locke.",554,"[(554, 'The haphazard slouch of neglected tenements crumbled into lavish displays of market vegetables and silks.'), (2279, 'Stone facades, which had once been splendid and impressive, were crumbling, grimed, and patched with haphazard necessity.'), (2476, 'The ground was paved with haphazard collections of tiles that had once been the floors of kitchens and bathrooms.'), (4192, 'The furniture was shoddy and thrown together in haphazard combinations, however, and the carpet in the corridors had worn through to shaggy holes in many places.'), (6233, 'When Abdullah took us into the plaited traffic once more, his bike weaving a haphazard progress through the threads of buses, cars, trucks, bicycles, bullock wagons, and pedestrians, he called over his shoulder to tell me that Doctor Hamid had once lived in a slum himself.')]",,16.071928757334064,201
nahin,,7,,963,"[(963, 'Ha means yes, and nahin means no, and pani means water, and khanna means foods, and —’'), (6746, '‘Pani nahin,’ Qasim said.'), (7043, '‘Takleef nahin!’ one of the bear-handlers called out.'), (9250, '‘Nahin, baba!’'), (14107, '‘Riot nahin, morcha hain.’ It’s not a riot, it’s a demonstration.')]",,18.74113912512001,13
goonda,,7,,6817,"[(6817, 'Come on, take this stick of yours, and beat a man with it, you cheap goonda.’'), (7646, '‘It’s the name of a thief, a goonda.'), (9254, 'He’s a cheeky fellow, a goonda.'), (18643, 'I walked the goonda walk, and in three languages I talked the talk.'), (18699, 'When I approached Chandra Mehta for help in organising the dancers, two weeks before Prabaker’s wedding, he’d assumed that the Prabaker in question was an important goonda working for Khaderbhai.')]",,17.796677516279157,35
aur,,7,,1186,"[(1186, 'Ek coffee aur.'), (12998, '‘Aur dass!’ he screamed.'), (26224, '‘Saatch aur Himmat.’ I spoke it aloud for them.'), (27660, '‘Saatch … aur himmat,’ he said, looking each man in the eye.'), (27662, '‘Saatch aur himmat,’ they replied.')]",,17.42895273615384,51
lamplight,,7,Light from a lamp. This world's artificial lamplights. Owen Meredith.,4948,"[(4948, 'By the yellow flickering lamplight we tended to the wounded slum-dwellers, using my first-aid kit as the basis of our little open-air clinic.'), (5403, 'I found books on diagnostic medicine, and studied them by lamplight in my hut.'), (9150, 'As I turned into the last gully where my own empty hut waited, I saw lamplight.'), (18665, 'A cotton sheet strung across the doorway was just sheer enough in the golden lamplight to reveal thrillingly indistinct shadows, inflaming fierce desires in many of those who crowded outside, where I stood guard and kept the curious at bay.'), (25127, 'I remembered reading Didier’s letter and deciding, in that shifting, yellow lamplight, that I would kill Madame Zhou.')]",,17.010748602268247,78
beedies,,7,,7870,"[(7870, 'She took a bundle of beedies from her pocket and lit two of them with a cigarette lighter, holding the small cigarettes in one hand and playing the flame over them with the other.'), (8225, '‘I don’t think anyone knows.’ She took out two beedies, lit them, and gave me one.'), (20882, 'I took two beedies from a pack, lit them in my hand with the play of a match, and handed one to him.'), (22200, 'Instead, I lit two beedies, and passed one to him.'), (22261, 'I lit two more beedies, not for the need of them, but for the distraction they provided, and their little warmth.')]",,17.010748602268247,16
haunches,haunch,7,"1. The hip; the projecting region of the lateral parts of the pelvis and the hip joint; the hind part. 2. Of meats: The leg and loin taken together; as, a haunch of venison. Haunch bone. See Innominate bone, under Innominate. -- Haunches of an arch (Arch.), the parts on each side of the crown of an arch. (See Crown, n., 11.) Each haunch may be considered as from one half to two thirds of the half arch.

""innominate"": 1. Having no name; unnamed; as, an innominate person or place. [R.] Ray. 2. (Anat.)  A term used in designating many parts otherwise unnamed; as, the innominate artery, a great branch of the arch of the aorta; the innominate vein, a great branch of the superior vena cava. Innominate bone (Anat.), the great bone which makes a lateral half of the pelvis in mammals; hip bone; haunch bone; huckle bone. It is composed of three bones, ilium, ischium, and pubis, consolidated into one in the adult, though separate in the fetus, as also in many adult reptiles and amphibians. -- Innominate contracts (Law), in the Roman law, contracts without a specific name.",2325,"[(2325, 'I tried to help the man to stand, but there was an elderly woman who squatted on her haunches there, in the open doorway, and she slapped at my hands, warning me away.'), (3581, 'As we loaded our gear and climbed into the back of the cart, Kishan took his seat on the yoke attached to the ox-bow, raised a long bamboo stick that had a nail driven into the end of it, and moved us off with a tremendous blow to the animal’s haunches.'), (4960, 'I blinked, and squinted, and realised that he was squatting on his haunches, with his elbows on his knees, and his face cupped in his hands.'), (9795, 'Nazeer squatted on his haunches to smoke with us.'), (12531, 'It took four hours, shuffling forward and squatting on our haunches, and they left me till last.')]",haunch,16.891560085003128,88
lungis,,7,"A lingerer; a dull, drowsy fellow. [Obs.]

""lingerer"": One who lingers. Guardian.",2169,"[(2169, 'They shouted instructions to the crowd, and in moments a wooden cart appeared, pushed by bare-chested men wearing only singlets and short lungis.'), (4575, 'Workmen, wearing faded lungis, stood beside men in traditional dress from various regions of India.'), (6906, 'After they’d scrubbed themselves clean with a hot bucket-bath, and dressed in new lungis and clean, white singlets, the two boys stood before an assembly of their families, friends, and neighbours.'), (8087, 'I’ve got one pair of boots, one pair of jeans, one shirt, two T-shirts, and a couple of lungis.'), (9674, 'In my hut there were only two lungis, which I wore for sleeping, bathing, or for when I washed my jeans.')]",,16.688848572506124,5
paunch,,7,"1. (Anat.)  The belly and its contents; the abdomen; also, the first stomach, or rumen, of ruminants. See Rumen. 2. (Naut.)  A paunch mat; -- called also panch. 3. The thickened rim of a bell, struck by the clapper. Paunch mat (Naut.), a thick mat made of strands of rope, used to prevent the yard or rigging from chafing.

1. To pierce or rip the belly of; to eviscerate; to disembowel. Shak. 2. To stuff with food. [Obs.] Udall.

""panch"": See Paunch.

""clapper"": 1. A person who claps. 2. That which strikes or claps, as the tongue of a bell, or the piece of wood that strikes a mill hopper, etc. See Illust. of Bell. Clapper rail (Zoöl.), an Americam species of rail (Rallus scepitans).

A rabbit burrow. [Obs.]

""eviscerate"": To take out the entrails of; to disembowel; to gut.

""disembowel"": 1. To take or let out the bowels or interior parts of; to eviscerate. Soon after their death, they are disemboweled. Cook. Roaring floods and cataracts that sweep From disemboweled earth the virgin gold. Thomson. 2. To take or draw from the body, as the web of a spider. [R.] ""Her disemboweled web."" J. Philips.

""rumen"": 1. (Anat.)  The first stomach of ruminants; the paunch; the fardingbag. See Illust. below. 2. The cud of a ruminant.",2162,"[(2162, 'He was a round-shouldered man, in his middle forties, wearing a grey, cotton safari suit that had been tailored to accommodate the extravagant boast of his large paunch.'), (3523, 'Kishan Mango Kharre was a tiny man, shorter even than Prabaker, with very close-cropped grey hair, a short, grey moustache, and a prominent paunch on his otherwise slender frame.'), (3564, 'He still held the shirt up to his chest, exposing the round, hairy paunch.'), (4801, 'He smiled happily and shook my hand, rubbing vigorously at his prominent paunch all the while.'), (9440, 'He was a tall man with a prominent paunch and a large, expressively bristly moustache, tinged with grey.')]",,16.215410480811755,174
sisterfucker,,6,,12224,"[(12224, 'Now get in the fucking jeep, you sisterfucker, or we’ll beat you with the lathis, and then put you in.’'), (12363, 'Next room, sisterfucker!'), (18857, 'You’re speaking like a regular Bombay sisterfucker.'), (20086, 'Go, sisterfucker!'), (26737, '‘Hey white sisterfucker, can’t you see the taxi’s empty?')]",,18.67214625363306,14
dhal,,6,,3788,"[(3788, 'After the shower, and a delicious meal of dhal, rice, and homemade flatbreads, Prabaker and I watched as his parents and his two sisters opened their presents.'), (3989, 'The meal usually consisted of the ubiquitous roti, spicy lentil dhal, mango chutney, and raw onions, served with lime juice.'), (4203, 'They were dressed in dhotis and white caps like the farmers in Prabaker’s village, and they sat on the floor to eat a hearty meal of dhal, rice, and roti.'), (6891, 'Joseph was given rice and dhal.'), (11991, 'We ate chicken byriani, malai kofta, vegetable korma, rice, curried vegetables, deep fried pieces of pumpkin, potato, onion, and cauliflower, hot buttered naan bread, dhal, papadams, and green mango chutney.')]",,17.978999073073112,29
tola,,6,A weight of British India. The standard tola is equal to 180 grains.,409,"[(409, 'I can get it one tola, one kilo, ten kilos, even I know where it is a full warehouse …’'), (412, '‘Just it happens I have it one tola, ten grams, the best Afghan charras, in my pocket.'), (911, 'But now, Linbaba, with this money from selling your good present to Mr. Sanjay, I can buy two bottles of very bad and nicely cheap Indian whisky, to enjoy, and plenty of money left for one nice new shirt, red colour, one tola of good charras, tickets for enjoying air condition Hindi picture, and two days of foods.'), (972, '‘Well, now I am telling … that tola charras, the one I was selling to you in hotel …’'), (975, 'The really price—the friendship price—is only fifty rupees for one tola Afghani charras.’ He lifted his arms, and then let them slap down at his thighs.')]",,17.618996339041704,42
protruded,protrude,6,"1. To thrust forward; to drive or force along. Locke. 2. To thrust out, as through a narrow orifice or from confinement; to cause to come forth. When . . . Spring protrudes the bursting gems. Thomson.

To shoot out or forth; to be thrust forward; to extend beyond a limit; to project. The parts protrude beyond the skin. Bacon.",10762,"[(10762, 'A piece of shinbone on one leg protruded below the knee.'), (12671, 'As we approached, a prisoner opened a valve at the base of the tank, allowing a small jet of water to escape from a pipe that protruded at about shin-height.'), (20641, 'In a few moments the similarity dissolved: Mahmoud’s eyes protruded a little, his lips were less full, and his chin was pointed, as if it was designed to hold a goatee beard.'), (21886, 'One bone protruded at a sickeningly unnatural angle, but it remained within the envelope of flesh, and nowhere pierced the skin.'), (22822, 'One thick chunk of bone protruded from the lumpy meat.')]",protrude,17.596006820817006,15
daru,,6,,6715,"[(6715, 'When the rough, home-brewed alcohol, known as daru, was produced, he instructed Prabaker and Jeetendra to force Joseph to drink.'), (6719, 'He gulped down more of the extremely powerful daru and then tried to push it away, saying that he’d had enough.'), (6821, 'He shouted for water, but they offered him only the daru bottle.'), (6825, 'Daru spilled over his stubbled chin, and ran from his gaping mouth.'), (6871, 'You will not drink even one drop of daru or beer or anything but water.')]",,17.190541712708843,65
solicitous,,6,"Disposed to solicit; eager to obtain something desirable, or to avoid anything evil; concerned; anxious; careful. ""Solicitous of my reputation."" Dryden. ""He was solicitous for his advice."" Calerendon. Enjoy the present, whatsoever it be, and be not solicitous about the future. Jer. Taylor. The colonel had been intent upon other things, and not enough solicitous to finish the fortifications. Clarendon. -- So*lic""it*ous*ly, adv. -- So*lic""it*ous*ness, n.

""clarendon"": A style of type having a narrow and heave face. It is made in all sizes. Note: This line is in nonpareil Clarendon.",3259,"[(3259, 'In the carriage and the corridor beyond, the other passengers were similarly respectful, sharing, and solicitous with one another.'), (7694, '‘Sorry for problem, Miss Karla,’ Prabaker apologised, his face pinched in a solicitous frown.'), (10716, 'Tariq embraced him in a solicitous hug, and their close friendship was sealed.'), (11399, 'With that call to arms from Johnny Cigar, and the simple, solicitous gesture from Sita, the battle began.'), (20191, 'In the weeks that followed he became solicitous and even tender-hearted toward me.')]",,17.036391032881586,76
bewilderment,,6,"1. The state of being bewildered. 2. A bewildering tangle or confusion. He . . . soon lost all traces of it amid bewilderment of tree trunks and underbrush. Hawthorne.

""bewildering"": Causing bewilderment or great perplexity; as, bewildering difficulties. -- Be*wil""der*ing*ly, adv.

""underbrush"": Shrubs, small trees, and the like, in a wood or forest, growing beneath large trees; undergrowth.",4237,"[(4237, 'I stared at him in bewilderment.'), (7038, 'The bewilderment and obvious reluctance on my face drove the people to more and bigger laughter.'), (9892, 'A minute later we were outside, on the street beside the Nabila Mosque, boy and man joined tightly at the hand but in nothing else except our bewilderment at the power of the personality that had pushed us together against our wills.'), (13314, 'The two men raised their palms, and exchanged identical expressions of bewilderment.'), (19281, '‘What?’ I asked, looking at him with a frown that was angry in its bewilderment.')]",,16.661697583440173,111
solemnity,,6,"1. A rite or ceremony performed with religious reverence; religious or ritual ceremony; as, the solemnity of a funeral, a sacrament. Great was the cause; our old solemnities From no blind zeal or fond tradition rise, But saved from death, our Argives yearly pay These grateful honors to the god of day. Pope. 2. ceremony adapted to impress with awe. The forms and solemnities of the last judgment. Atterburry. 3. Ceremoniousness; impressiveness; seriousness; grave earnestness; formal dignity; gravity. With much glory and great solemnity. Chaucer. The statelines and gravity of the Spaniards shows itself in the solemnity of their language. Addison. These promises were often made with great solemnity and confirmed with an oath. J. Edwards. 4. Hence, affected gravity or seriousness. Solemnity 's a cover for a sot. Young. 5. Solemn state or feeling; awe or reverence; also, that which produces such a feeling; as, the solemnity of an audience; the solemnity of Westminster Abbey. 6. (Law)  A solemn or formal observance; proceeding according to due form; the formality which is necessary to render a thing done valid.

""earnestness"": The state or quality of being earnest; intentness; anxiety. An honest earnestness in the young man's manner. W. Irving.

""observance"": 1. The act or practice of observing or noticing with attention; a heeding or keeping with care; performance; -- usually with a sense of strictness and fidelity; as, the observance of the Sabbath is general; the strict observance of duties. It is a custom More honored in the breach than the observance. Shak. 2. An act, ceremony, or rite, as of worship or respect; especially, a customary act or service of attention; a form; a practice; a rite; a custom. At dances These young folk kept their observances. Chaucer. Use all the observance of civility. Shak. Some represent to themselves the whole of religion as consisting in a few easy observances. Rogers. O I that wasted time to tend upon her, To compass her with sweet observances! Tennyson. 3. Servile attention; sycophancy. [Obs.] Salads and flesh, such as their haste could get, Served with observance. Chapman. This is not atheism, But court observance. Beau. & Fl. Syn. -- Observance, Observation. These words are discriminated by the two distinct senses of observe. To observe means (1) to keep strictly; as, to observe a fast day, and hence, observance denotes the keeping or heeding with strictness; (2) to consider attentively, or to remark; and hence, observation denotes either the act of observing, or some remark made as the result thereof. We do not say the observation of Sunday, though the word was formerly so used. The Pharisees were curious in external observances; the astronomers are curious in celestial observations. Love rigid honesty, And strict observance of impartial laws. Roscommon.

""sot"": 1. A stupid person; a blockhead; a dull fellow; a dolt. [Obs.] outh. In Egypt oft has seen the sot bow down, And reverence some dOldham. 2. A person stupefied by excessive drinking; an habitual drunkard. ""A brutal sot."" Granville. Every sign That calls the staring sots to nasty wine. Roscommon.

Sottish; foolish; stupid; dull. [Obs.] ""Rich, but sot."" Marston.

To stupefy; to infatuate; to besot. [R.] I hate to see a brave, bold fellow sotted. Dryden.

To tipple to stupidity. [R.] Goldsmith.

""ceremoniousness"": The quality, or practice, of being ceremonious.",5766,"[(5766, 'Khaderbhai also took a sugar cube and sipped his tea through it, endowing the little custom with a peculiar dignity and solemnity, as in fact he did with every expression and even the most casual gesture.'), (5944, 'He said it with such solemnity, despite the smile, that I had to laugh.'), (9623, '‘A man …’ he began, intoning the words with sacramental solemnity.'), (18718, 'He leapt to his feet and danced a few pumps of his hip-thrusting sexy dance before the solemnity of the occasion overwhelmed him once more, and he sat down with his bride.'), (20419, 'The irony was that we were, in fact, similarly dour and serious men, but his grim severity was so stark that it roused me from my own solemnity, and provoked a childish, prankish desire to mock him.')]",,16.56801209936285,122
karo,,6,,1187,"[(1187, 'Jaldi karo!’'), (2071, '‘Band karo!’ Prabaker shouted.'), (11895, 'Arre, full karo!’'), (15211, 'Band karo!'), (15213, 'Band karo!’ Now, now!')]",,16.512662004279683,129
prised,pris,6,"See Price, and 1st Prize. [Obs.]",1251,"[(1251, 'The whisky arrived, in four small flasks, and the waiter prised the tops off two soda bottles with a brass bottle opener that hung from a chain at his belt.'), (9890, 'Tariq clung to him, grabbing his hair, and had to be prised from the embrace with some force.'), (10154, 'I placed the ashtray under it and prised it loose, letting it fall from her hand into the bowl.'), (12813, 'Holding the ribbed seam at the neck, he prised it apart and revealed the sheppesh crawling in the crease at the seam.'), (18171, 'She gently prised the glass from Ulla’s fingers, and gave her a cigarette.')]",pris,16.497394532148896,33
waggling,waggle,6,"To reel, sway, or move from side to side; to move with a wagging motion; to waddle. Why do you go nodding and waggling so L'Estrange.

To move frequently one way and the other; to wag; as, a bird waggles his tail.",3315,"[(3315, 'The man beamed a smile at me so huge that it was half the brilliance of Prabaker’s own, and set to such energetic head waggling in return that I was, at first, a little alarmed.'), (3359, 'By the time the bus rolled out of the busy terminal, I was accepting smiles and head-wiggles from every man in sight, and waggling and wiggling at them in return.'), (3550, 'His eyes glittered as he spoke to me, waggling his head all the while in what seemed to be an unnervingly seductive leer.'), (4454, '‘No, no, Lin,’ Prabaker declined, waggling his head.'), (8662, 'The taxi driver greeted them, waggling his head happily.')]",waggle,16.497394532148896,54
